,urname,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
0,웨이드보그스,근원을 삼킨 낫,엔트 정령의 상의,블랙 캣 헬멧,벤타블랙 팬츠,검은 발자국,파괴된 신념,디젯 퓨즈 초크,미니어쳐 헤드셋 암릿,골드 윙 반지,옵티컬 컴뱃 글래스,평화를 위한 투쟁,초소형 GPS,진룡 : 무거운 철의 투지
0,싱글소환사,결전의 스태프 - 소환사,흙으로 빚은 자연,피어나는 자연의 삶,로보티카 컴뱃 팬츠,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,옵티컬 컴뱃 글래스,완성형 동력 제어장치,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,ip_TIME,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,혼돈을 두른 장막,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,죽음을 부르는 관,승리가 약속된 시간,아크로매틱 룸버스,금룡 : 무한한 빛의 결계
0,럿데수퍼,근원을 삼킨 광검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,검은 별,파워 네비게이트 팩,고통의 상처,옵티컬 컴뱃 글래스,완성형 동력 제어장치,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,Venomia,근원을 삼킨 클로,천지를 흔드는 석갑,오염된 빙석 견갑,압도하는 힘의 하갑,소망을 향한 움직임,파괴된 신념,디젯 퓨즈 초크,골렘의 핵 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,지상형 : 전술 차륜 드론,초소형 GPS,진룡 : 무거운 철의 투지
0,US에이전트,근원을 삼킨 자동권총,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,생명이 담긴 잔,언비튼 메달,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,3트독왕,근원을 삼킨 클로,천지를 흔드는 석갑,아픔을 감싸는 위엄,승리로 이끄는 정의,과거를 뒤로 한 전진,마땅한 본분,디젯 퓨즈 초크,골렘의 핵 팔찌,엔트 정령의 반지,옵티컬 컴뱃 글래스,블루 베릴 젬스톤,초소형 GPS,진룡 : 무거운 철의 투지
0,신과귀,근원을 삼킨 도,엔트 정령의 상의,매니퓰레이션,침식되는 이성,과거를 뒤로 한 전진,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,엔트 정령의 성배,승리가 약속된 시간,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
0,팡팡어썰,근원을 삼킨 자동권총,엔트 정령의 상의,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,홍석천식포격,근원을 삼킨 핸드캐넌,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,마땅한 본분,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,o마도학관o,근원을 삼킨 빗자루,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,금룡 : 무한한 빛의 결계
0,까꿍이소울,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,뉴탄,근원을 삼킨 보우건,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,여자홀슬,결전의 십자가 - 크루세이더(여),고귀한 신의,주체할 수 없는 낡은 규칙,지치지 않는 여정의 하의,내딛는 용기,쿨링 서포트 벨트,약동하는 생명의 고동,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,진룡 : 무거운 철의 투지
0,돕웨폰,근원을 삼킨 광검,탐험가의 노련한 코트,맹렬한 위세,깨지지 않는 빛바랜 신념,일렉트릭 프루프 부츠,별을 담는 벨트,아토믹 코어 네클레스,흑화의 구속 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,완성형 동력 제어장치,들이치는 희미한 탄식,흑룡 : 끝없는 암흑의 굴레
0,스페이스눌러,결전의 선현궁 - 뮤즈,고귀한 신의,주체할 수 없는 낡은 규칙,지치지 않는 여정의 하의,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,뚜렷해지는 소멸된 사념,엔트 정령의 성배,딥 다이버 마스크,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,반한헤카테,근원을 삼킨 빗자루,쉐도우블랙 슈트,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,절대감각의 방위구,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,자연에 녹아드는 이슬,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,나이트용기사,근원을 삼킨 도,블루 베릴 아머,빛을 잃은 진실,로보티카 컴뱃 팬츠,소망을 향한 움직임,불변의 부유석 벨트,고양된 분노의 목걸이,흑화의 구속 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,완성형 동력 제어장치,들이치는 희미한 탄식,금룡 : 무한한 빛의 결계
0,제야p,결전의 십자가 - 크루세이더(여),흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,수호룡의 비호 - 자비,골드 윙 반지,굴착 강화 파츠,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,검마_다,근원을 삼킨 대검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,마도J,결전의 빗자루 - 마도학자,어릴적 꿈꿔온 무대,화려한 청색의 음율,딥 다이버 팬츠,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,원터치 스마트 리모콘,꿈같은 환호성,두근거리는 열정,인력의 법칙,금룡 : 무한한 빛의 결계
0,낭낭하이,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,선혈귀수,근원을 삼킨 도,엔트 정령의 상의,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,비빔당면,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,건물야탄테러,근원을 삼킨 클로,탐험가의 노련한 코트,엔트 정령의 어깨,로보티카 컴뱃 팬츠,하이테크 고기동 강화 부츠,마땅한 본분,테크놀로지 바디캠 네클리스,흑화의 구속 팔찌,에너지 서치 링,엔트 정령의 성배,숨결을 삼킨 용옥,인력의 법칙,천계 연합군 : 밝게 빛나는 희망
0,차원소환진,근원을 삼킨 스태프,탐험가의 노련한 코트,빛을 잃은 진실,깨지지 않는 빛바랜 신념,과거를 뒤로 한 전진,파괴된 신념,고양된 분노의 목걸이,흑화의 구속 팔찌,에너지 서치 링,죽음을 부르는 관,완성형 동력 제어장치,인력의 법칙,천계 연합군 : 밝게 빛나는 희망
0,투창아닌마창,근원을 삼킨 투창,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,쓸쓸한달걀,결전의 도 - 아수라,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,굴착 강화 파츠,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,헬부웅이,근원을 삼킨 둔기,블루 베릴 아머,아픔을 감싸는 위엄,깨지지 않는 빛바랜 신념,하이테크 고기동 강화 부츠,마땅한 본분,고양된 분노의 목걸이,흑화의 구속 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,저주받은 마음,들이치는 희미한 탄식,천계 연합군 : 밝게 빛나는 희망
0,우라도라,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,로보티카 컴뱃 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,억류된 혼의 령주,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,네임-로제,결전의 리볼버 - 레인저(여),리버시블 레더 코트,매니퓰레이션,침식되는 이성,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,븝퍼는븝퍼다,결전의 빗자루 - 인챈트리스,블루 베릴 아머,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,테크놀로지 바디캠 네클리스,생명이 담긴 가죽 토시,어댑터블 투톤 링,내면의 얼굴,언비튼 메달,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,"메이든리니,",결전의 빗자루 - 인챈트리스,얼티밋 제너레이터,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,딥 다이버 네클레스,숲속의 마녀 팔찌,엔트 정령의 반지,굴착 강화 파츠,엔트 정령의 심장,엔트 정령의 귀걸이,흑룡 : 끝없는 암흑의 굴레
0,창잽,근원을 삼킨 광창,어릴적 꿈꿔온 무대,화려한 청색의 음율,깨지지 않는 빛바랜 신념,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,원터치 스마트 리모콘,꿈같은 환호성,두근거리는 열정,인력의 법칙,천계 연합군 : 밝게 빛나는 희망
0,어드홀리,결전의 십자가 - 크루세이더(남),고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,익스펜션 서플라이 벨트,테크놀로지 바디캠 네클리스,생명이 담긴 가죽 토시,어댑터블 투톤 링,블루 베릴 퍼퓸,언비튼 메달,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,에반레옹,결전의 십자가 - 크루세이더(여),격동하는 마음,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,뚜렷해지는 소멸된 사념,정의의 기사 가면,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,악신총,결전의 도 - 다크템플러,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,다세포소녀,결전의 스태프 - 소환사,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,이온화조정 팔찌,골드 윙 반지,생명이 담긴 잔,미지의 문명 - 스타 스톤,인력의 법칙,금룡 : 무한한 빛의 결계
0,런처가런처?,근원을 삼킨 핸드캐넌,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,해피카우,광폭화된 전의의 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,용살자의 증표 - 용골 뿔피리,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,검성우,근원을 삼킨 광검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,연회로,결전의 빗자루 - 인챈트리스,어릴적 꿈꿔온 무대,화려한 청색의 음율,지치지 않는 여정의 하의,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,뚜렷해지는 소멸된 사념,꿈같은 환호성,두근거리는 열정,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,뮤겡,결전의 선현궁 - 뮤즈,천재 기술자의 전문 작업복 상의,매니퓰레이션,언리밋 사이버네틱,내딛는 용기,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,미지의 문명 - 마스크 스톤,미지의 문명 - 스타 스톤,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,영축없태연,,,,,,,,,,,,,
0,귀곰나찰,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,
0,일각`,근원을 삼킨 통파,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,인력의 법칙,흑룡 : 끝없는 암흑의 굴레
0,검귀같은사랑,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,(주)켈로그,근원을 삼킨 토템,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,엔트 정령의 귀걸이,흑룡 : 끝없는 암흑의 굴레
0,꽁편,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,옵티컬 컴뱃 글래스,승리가 약속된 시간,인력의 법칙,금룡 : 무한한 빛의 결계
0,아수라의힘,결전의 소검 - 아수라,흙으로 빚은 자연,피어나는 자연의 삶,로보티카 컴뱃 팬츠,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,구속된 자유,뚜렷해지는 소멸된 사념,옵티컬 컴뱃 글래스,완성형 동력 제어장치,오퍼레이션 오더,금룡 : 무한한 빛의 결계
0,이사이사이,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,LOL_아리,근원을 삼킨 핸드캐넌,리버시블 레더 코트,유쾌함 속의 열망,딥 다이버 팬츠,일렉트릭 프루프 부츠,파괴된 신념,기품의 금빛 장신구,찬란한 금장 팔찌,어댑터블 투톤 링,굴착 강화 파츠,피어오르는 광기,눈물이 스민 보석,천계 연합군 : 밝게 빛나는 희망
0,口ㅔ카닉,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,FuryOfLight,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,느그버프♪,결전의 빗자루 - 인챈트리스,쉐도우블랙 슈트,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,블루 베릴 퍼퓸,자연에 녹아드는 이슬,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,천년노아,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,[101]블레,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,응디열일곱대,결전의 선현궁 - 뮤즈,고귀한 신의,주체할 수 없는 낡은 규칙,로보티카 컴뱃 팬츠,내딛는 용기,익스펜션 서플라이 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,언비튼 메달,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,..소녀..,근원을 삼킨 도,탐험가의 노련한 코트,블루 베릴 보호대,로보티카 컴뱃 팬츠,과거를 뒤로 한 전진,마땅한 본분,아토믹 코어 네클레스,흑화의 구속 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,잿빛의 묘상석,들이치는 희미한 탄식,흑룡 : 끝없는 암흑의 굴레
0,민뚜뚜뚜,결전의 십자가 - 크루세이더(여),숲속의 마녀 상의,주체할 수 없는 낡은 규칙,숲속의 마녀 하의,내딛는 용기,숲속의 마녀 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
