,urname,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
0,옹첸트리스,결전의 빗자루 - 인챈트리스,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,생명이 담긴 잔,승리가 약속된 시간,황혼의 성단,금룡 : 무한한 빛의 결계
0,RuiSaotome,결전의 빗자루 - 인챈트리스,어릴적 꿈꿔온 무대,화려한 청색의 음율,지치지 않는 여정의 하의,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,뚜렷해지는 소멸된 사념,꿈같은 환호성,두근거리는 열정,시각의 관점,
0,유메짱,,,,,,,,,,,,,
0,공이베,,,,,,,,,,,,,
0,죡삭이웨펀,,,,,,,,,,,,,
0,본부장,근원을 삼킨 광검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,어둠을 먹는 심장,결전의 광검 - 베가본드,금룡 : 무한한 빛의 결계
0,래밍챠,,,,,,,,,,,,,
0,화뱅,,,,,,,,,,,,,
0,도리도리어택,,,,,,,,,,,,,
0,HEY.NE,,,,,,,,,,,,,
0,후니본캐,,,,,,,,,,,,,
0,뉴비챙겨줘요,,,,,,,,,,,,,
0,영감미안해요,,,,,,,,,,,,,
0,사령삭삭이,근원을 삼킨 완드,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,절망의 발소리,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,
0,버퍼주농이,,,,,,,,,,,,,
0,날개레이븐,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,깨지지 않는 빛바랜 신념,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,천계 연합군 : 밝게 빛나는 희망
0,곰탱이인챈,,,,,,,,,,,,,
0,싱나는문좌,,,,,,,,,,,,,
0,ImperialHigh,,,,,,,,,,,,,
0,또도윤12,,,,,,,,,,,,,
0,슈거어설트,결전의 자동권총 - 어썰트,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,생명이 담긴 잔,승리가 약속된 시간,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,유부연어초밥,,,,,,,,,,,,,
0,여귀검도냉면,,,,,,,,,,,,,
0,큭윽블레,,,,,,,,,,,,,
0,챔피네요,,,,,,,,,,,,,
0,EY-13,,,,,,,,,,,,,
0,Gandhi,결전의 십자가 - 크루세이더(남),고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,뚜렷해지는 소멸된 사념,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,막지어버려,,,,,,,,,,,,,
0,키퍼배스,,,,,,,,,,,,,
0,로그무늬,,,,,,,,,,,,,
0,웨,,,,,,,,,,,,,
0,피나는다이공,,,,,,,,,,,,,
0,Shooter™,근원을 삼킨 핸드캐넌,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,숨어라!,,,,,,,,,,,,,
0,박지민.,,,,,,,,,,,,,
0,Sense.핌,,,,,,,,,,,,,
0,자두Juice,근원을 삼킨 둔기,하이테크 전술지휘 아머,하이테크 바디 프로텍트 숄더,라이트 어댑터 팬츠,일렉트릭 프루프 부츠,파괴된 신념,기품의 금빛 장신구,찬란한 금장 팔찌,에너지 서치 링,옵티컬 컴뱃 글래스,피어오르는 광기,눈물이 스민 보석,
0,회영,결전의 핸드캐넌 - 런처(여),흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,서드 스페이드 - 데스,용살자의 증표 - 용골 뿔피리,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
0,Cstrike1.6,근원을 삼킨 너클,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,홀황경,근원을 삼킨 광검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,굴착 강화 파츠,자연에 녹아드는 이슬,근원을 삼킨 광검,금룡 : 무한한 빛의 결계
0,용발싸대기,,,,,,,,,,,,,
0,조동빠리,,,,,,,,,,,,,
0,매혹의그림자,,,,,,,,,,,,,
0,자몽저,,,,,,,,,,,,,
0,P니실리,,,,,,,,,,,,,
0,파스텔가든,,,,,,,,,,,,,
0,꿀요거트,,,,,,,,,,,,,
0,켈베로스치킨,,,,,,,,,,,,,
0,슬무],근원을 삼킨 로드,어릴적 꿈꿔온 무대,화려한 청색의 음율,드래곤 라이더,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,골드 윙 반지,꿈같은 환호성,두근거리는 열정,타락한 영혼,천계 연합군 : 밝게 빛나는 희망
0,왕기대장군,,,,,,,,,,,,,
0,보험왕고라니,,,,,,,,,,,,,
0,몇동,,,,,,,,,,,,,
0,봉탁~,,,,,,,,,,,,,
0,HOT태양,,,,,,,,,,,,,
0,샛별츄,,,,,,,,,,,,,
0,석전문주,,,,,,,,,,,,,
0,聖暗神,,,,,,,,,,,,,
0,행운몽,결전의 스태프 - 소환사,쉐도우블랙 슈트,끝을 바라보는 시선,옥화의 망령 대퇴갑,천재 기술자의 두터운 보호부츠,천재 기술자의 멀티툴 벨트,고양된 분노의 목걸이,생명이 담긴 가죽 토시,어댑터블 투톤 링,옵티컬 컴뱃 글래스,저주받은 마음,아크로매틱 룸버스,
0,2017.07.27,,,,,,,,,,,,,
0,파동캐,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,생명이 담긴 잔,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,1분의N,근원을 삼킨 빗자루,리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,절망의 발소리,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,엔트 정령의 성배,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,응군소울,,,,,,,,,,,,,
0,§폭주천사§,,,,,,,,,,,,,
0,김치베가본드,,,,,,,,,,,,,
0,탐브흑노예,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,뚜렷해지는 소멸된 사념,내면의 얼굴,완성형 동력 제어장치,폭발형 : 소형 전술 플레어,
0,앞집화송,,,,,,,,,,,,,
0,기혀니기여웡,결전의 십자가 - 크루세이더(남),쉐도우블랙 슈트,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,그대의한마디,,,,,,,,,,,,,
0,김승수쉽새기,근원을 삼킨 낫,엔트 정령의 상의,블랙 캣 헬멧,벤타블랙 팬츠,검은 발자국,가이드 라인 벨트,고양된 분노의 목걸이,미니어쳐 헤드셋 암릿,골드 윙 반지,옵티컬 컴뱃 글래스,지상형 : 전술 차륜 드론,아크로매틱 룸버스,화룡 : 타오르는 불의 분노
0,크붕,,,,,,,,,,,,,
0,세웅_,근원을 삼킨 자동권총,천재 기술자의 전문 작업복 상의,끝을 바라보는 시선,언리밋 사이버네틱,천재 기술자의 두터운 보호부츠,천재 기술자의 멀티툴 벨트,고양된 분노의 목걸이,생명이 담긴 가죽 토시,어댑터블 투톤 링,생명의 근원이 담긴 배낭,미니 배터리 팩,부스팅 펄스 튜브,
0,상딸장인금성,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,로보티카 컴뱃 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,부기원더랜드,근원을 삼킨 보우건,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,흩어지는달빛,,,,,,,,,,,,,
0,똘킹크루,,,,,,,,,,,,,
0,스도미,,,,,,,,,,,,,
0,Ange-슈아,,,,,,,,,,,,,
0,아이리칸나☆,,,,,,,,,,,,,
0,검마의팬티,,,,,,,,,,,,,
0,89만원세대,,,,,,,,,,,,,
0,유체이탈자,결전의 도 - 다크템플러,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,
0,이거어려워요,,,,,,,,,,,,,
0,다용도번개,,,,,,,,,,,,,
0,그대뿐인지,근원을 삼킨 장창,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,용살자의 증표 - 용골 뿔피리,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,무인승강기,,,,,,,,,,,,,
0,핑크子,,,,,,,,,,,,,
0,RoriIsland,,,,,,,,,,,,,
0,브읍딱뭉이,결전의 빗자루 - 인챈트리스,고귀한 신의,주체할 수 없는 낡은 규칙,로보티카 컴뱃 팬츠,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,사냥함,결전의 소태도 - 요원,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
0,사자후크아앙,,,,,,,,,,,,,
0,누가바메로나,,,,,,,,,,,,,
0,뾰족한련,,,,,,,,,,,,,
0,스텔라론,,,,,,,,,,,,,
0,요이츠,,,,,,,,,,,,,
0,홀리3호환자,,,,,,,,,,,,,
0,투아네트,근원을 삼킨 소검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,주인의 각인,흑룡 : 끝없는 암흑의 굴레
0,거짓을아는자,결전의 쌍검 - 로그,드래곤 슬레이어,매니퓰레이션,악몽을 이겨낸 승전보,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,유자얼음,,,,,,,,,,,,,
0,항아리검사,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,로보티카 컴뱃 팬츠,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,옵티컬 컴뱃 글래스,용살자의 증표 - 용심 가공석,인력의 법칙,금룡 : 무한한 빛의 결계
0,ㅣ시아ㅣ,근원을 삼킨 권투글러브,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,완성형 동력 제어장치,폭풍을 삼킨 에너지,
0,김굽다불낸년,,,,,,,,,,,,,
0,석한26,근원을 삼킨 광검,하이테크 전술지휘 아머,숲속의 마녀 망토,딥 다이버 팬츠,스팀펑크 소닉 디스럽터,영면을 위한 준비,폭룡왕의 지배 - 공포,수호룡의 비호 - 자비,멈추지 않는 운명,옵티컬 컴뱃 글래스,용살자의 증표 - 용심 가공석,근원을 삼킨 광검,흑룡 : 끝없는 암흑의 굴레
0,관습,근원을 삼킨 소검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,잊혀진 기록,빛과 어둠,금룡 : 무한한 빛의 결계
0,두번째어둠,,,,,,,,,,,,,
0,ShyTokki,,,,,,,,,,,,,
0,D_Punisher,근원을 삼킨 둔기,하이테크 전술지휘 아머,아픔을 감싸는 위엄,드래곤 라이더,과거를 뒤로 한 전진,파괴된 신념,기품의 금빛 장신구,찬란한 금장 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,피어오르는 광기,눈물이 스민 보석,천계 연합군 : 밝게 빛나는 희망
0,PaladinBerry,,,,,,,,,,,,,
0,SeedOfAgent,,,,,,,,,,,,,
0,랸따,근원을 삼킨 통파,하이테크 전술지휘 아머,아픔을 감싸는 위엄,굳건한 믿음,움직이는 쇠약한 집착,파괴된 신념,기품의 금빛 장신구,찬란한 금장 팔찌,에너지 서치 링,옵티컬 컴뱃 글래스,피어오르는 광기,눈물이 스민 보석,천계 연합군 : 밝게 빛나는 희망
0,진:청룡맨,,,,,,,,,,,,,
0,검귀진심처음,,,,,,,,,,,,,
0,앵진의트리스,,,,,,,,,,,,,
0,제로펩시라임,,,,,,,,,,,,,
0,HateTax,,,,,,,,,,,,,
0,쉬잉쉥배움,,,,,,,,,,,,,
0,세리카.,,,,,,,,,,,,,
0,Josk,결전의 도 - 아수라,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,서드 스페이드 - 데스,옵티컬 컴뱃 글래스,완성형 동력 제어장치,아크로매틱 룸버스,진룡 : 무거운 철의 투지
0,사령로키,,,,,,,,,,,,,
0,김한복,,,,,,,,,,,,,
0,최종납도◈,결전의 도 - 블레이드,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,전술 레이더망 링,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,희노이치,,,,,,,,,,,,,
0,테라-,,,,,,,,,,,,,
0,새침한이유.,근원을 삼킨 염주,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,
0,임죄,,,,,,,,,,,,,
0,댕팡,,,,,,,,,,,,,
0,수험서,,,,,,,,,,,,,
0,쿠마검,,,,,,,,,,,,,
0,카르낙,,,,,,,,,,,,,
0,ΦωΦ)↘MMM,결전의 대검 - 데몬슬레이어,리버시블 레더 코트,딥 다이버 에어팩,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,
0,캬라멜초코비,,,,,,,,,,,,,
0,앤씨아임소은,,,,,,,,,,,,,
0,인챈광녀,,,,,,,,,,,,,
0,프라아이임이,결전의 자동권총 - 메카닉(남),리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,
0,~Ami~,근원을 삼킨 권투글러브,리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,그녀는도도,,,,,,,,,,,,,
0,::투지::,,,,,,,,,,,,,
0,혼토니기모찌,,,,,,,,,,,,,
0,아렐리카,근원을 삼킨 광검,엔트 정령의 상의,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,엔트 정령의 성배,승리가 약속된 시간,결전의 광검 - 베가본드,흑룡 : 끝없는 암흑의 굴레
0,캣츠티,,,,,,,,,,,,,
0,귀다라천,,,,,,,,,,,,,
0,KaGeRoAK,,,,,,,,,,,,,
0,King_Crimson,,,,,,,,,,,,,
0,부르릉뱅뱅,근원을 삼킨 선현궁,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,아토믹 코어 네클레스,무뎌지는 둔화된 변화,서드 스페이드 - 데스,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,킥새,,,,,,,,,,,,,
0,assembler,근원을 삼킨 낫,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,
0,힐없는마녀,,,,,,,,,,,,,
0,†_투신_†,,,,,,,,,,,,,
0,앵콜그먼씹,결전의 선현궁 - 뮤즈,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,퍼스트 스페이드 - 노블레스,무뎌지는 둔화된 변화,서드 스페이드 - 데스,용살자의 증표 - 용골 뿔피리,언비튼 메달,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,수확티모,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,뮤즈진,,,,,,,,,,,,,
0,초록복숭아,,,,,,,,,,,,,
0,Michaella,,,,,,,,,,,,,
0,갈!갈!갈!갈!,결전의 자동권총 - 메카닉(남),탐험가의 노련한 코트,빛을 잃은 진실,침식되는 이성,과거를 뒤로 한 전진,얼터레이션 다이얼 벨트,잠겨진 영역,흑화의 구속 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,어둠을 먹는 심장,인력의 법칙,흑룡 : 끝없는 암흑의 굴레
0,레블페라도,,,,,,,,,,,,,
0,슬림플라이,,,,,,,,,,,,,
0,느그들의희망,,,,,,,,,,,,,
0,Leafpieß,,,,,,,,,,,,,
0,간다..간다.,,,,,,,,,,,,,
0,하흑진,,,,,,,,,,,,,
0,자수맛집,,,,,,,,,,,,,
0,ⓚ,,,,,,,,,,,,,
0,타점사기캐,,,,,,,,,,,,,
0,네옴시티2,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,화음하는 음색,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,Frozena,근원을 삼킨 광검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,서드 스페이드 - 데스,용살자의 증표 - 용골 뿔피리,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,염황하자,,,,,,,,,,,,,
0,검마더하기,,,,,,,,,,,,,
0,꼬마봉,,,,,,,,,,,,,
0,천혜향,,,,,,,,,,,,,
0,민트캔디,,,,,,,,,,,,,
0,양검먹고싶다,결전의 대검 - 데몬슬레이어,블루 베릴 아머,끝을 바라보는 시선,깨지지 않는 빛바랜 신념,천재 기술자의 두터운 보호부츠,천재 기술자의 멀티툴 벨트,고양된 분노의 목걸이,포인트 레이더 암릿,어댑터블 투톤 링,버츄얼 사이트 글래스,미니 배터리 팩,아크로매틱 룸버스,
0,밀노,,,,,,,,,,,,,
0,나공리퍽,,,,,,,,,,,,,
0,텐지넨슈존못,,,,,,,,,,,,,
0,향단로죄,,,,,,,,,,,,,
0,#임무#,근원을 삼킨 소태도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,
0,칠면조요리♪,,,,,,,,,,,,,
0,아헬더스,,,,,,,,,,,,,
0,피나타,근원을 삼킨 소검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,화음하는 음색,골드 윙 반지,용살자의 증표 - 용골 뿔피리,자연에 녹아드는 이슬,고귀한 수호,
0,크로th모어,근원을 삼킨 머스켓,어릴적 꿈꿔온 무대,화려한 청색의 음율,라이트 어댑터 팬츠,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,뚜렷해지는 소멸된 사념,꿈같은 환호성,두근거리는 열정,들이치는 희미한 탄식,
0,응큼한무녀,,,,,,,,,,,,,
0,혈커,결전의 권투글러브 - 스트라이커(남),리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,따브류사랑해,,,,,,,,,,,,,
0,레키하나,근원을 삼킨 자동권총,엔트 정령의 상의,아픔을 감싸는 위엄,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,천계 연합군 : 밝게 빛나는 희망
0,일체,,,,,,,,,,,,,
0,쁘띠술사,,,,,,,,,,,,,
0,기본연습상대,,,,,,,,,,,,,
0,아우라글로우,결전의 자동권총 - 메카닉(여),흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,생명이 담긴 잔,용살자의 증표 - 용심 가공석,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,아가방커튼,근원을 삼킨 너클,리버시블 레더 코트,매니퓰레이션,라이트 어댑터 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,카메론토마스,근원을 삼킨 소검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
0,믿거로제,,,,,,,,,,,,,
0,강제적얼리기,근원을 삼킨 로드,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,지상형 : 전술 차륜 드론,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,헤거지,,,,,,,,,,,,,
0,모코코향기,근원을 삼킨 도,어릴적 꿈꿔온 무대,화려한 청색의 음율,깨지지 않는 빛바랜 신념,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,에너지 서치 링,꿈같은 환호성,두근거리는 열정,타락한 영혼,
0,정홀지원2,,,,,,,,,,,,,
0,성화마제스티,,,,,,,,,,,,,
0,검마발현,,,,,,,,,,,,,
0,홀리시온,,,,,,,,,,,,,
0,군대가는지원,,,,,,,,,,,,,
